name,generation
フシギダネ,generation-i
フシギソウ,generation-i
フシギバナ,generation-i
リザードン,generation-i
カメックス,generation-i
キャタピー,generation-i
トランセル,generation-i
バタフリー,generation-i
ピジョット,generation-i
オニスズメ,generation-i
オニドリル,generation-i
アーボック,generation-i
ピカチュウ,generation-i
ライチュウ,generation-i
サンドパン,generation-i
ニドリーナ,generation-i
ニドクイン,generation-i
ニドリーノ,generation-i
ニドキング,generation-i
キュウコン,generation-i
ゴルバット,generation-i
ナゾノクサ,generation-i
クサイハナ,generation-i
ラフレシア,generation-i
パラセクト,generation-i
モルフォン,generation-i
ダグトリオ,generation-i
ペルシアン,generation-i
ゴルダック,generation-i
オコリザル,generation-i
ウインディ,generation-i
ニョロボン,generation-i
ユンゲラー,generation-i
フーディン,generation-i
ワンリキー,generation-i
ゴーリキー,generation-i
カイリキー,generation-i
マダツボミ,generation-i
ウツボット,generation-i
メノクラゲ,generation-i
ドククラゲ,generation-i
イシツブテ,generation-i
ゴローニャ,generation-i
ギャロップ,generation-i
レアコイル,generation-i
ドードリオ,generation-i
ベトベター,generation-i
ベトベトン,generation-i
シェルダー,generation-i
パルシェン,generation-i
スリーパー,generation-i
キングラー,generation-i
ビリリダマ,generation-i
マルマイン,generation-i
サワムラー,generation-i
エビワラー,generation-i
ベロリンガ,generation-i
マタドガス,generation-i
サイホーン,generation-i
モンジャラ,generation-i
トサキント,generation-i
アズマオウ,generation-i
ヒトデマン,generation-i
スターミー,generation-i
バリヤード,generation-i
ストライク,generation-i
ルージュラ,generation-i
ケンタロス,generation-i
コイキング,generation-i
ギャラドス,generation-i
シャワーズ,generation-i
サンダース,generation-i
ブースター,generation-i
オムナイト,generation-i
オムスター,generation-i
カブトプス,generation-i
フリーザー,generation-i
ファイヤー,generation-i
ミニリュウ,generation-i
ハクリュー,generation-i
カイリュー,generation-i
ミュウツー,generation-i
チコリータ,generation-ii
ベイリーフ,generation-ii
メガニウム,generation-ii
ヒノアラシ,generation-ii
マグマラシ,generation-ii
バクフーン,generation-ii
アリゲイツ,generation-ii
オーダイル,generation-ii
ヨルノズク,generation-ii
レディアン,generation-ii
アリアドス,generation-ii
クロバット,generation-ii
チョンチー,generation-ii
ランターン,generation-ii
トゲチック,generation-ii
ネイティオ,generation-ii
デンリュウ,generation-ii
キレイハナ,generation-ii
ウソッキー,generation-ii
ニョロトノ,generation-ii
ヒマナッツ,generation-ii
ヤンヤンマ,generation-ii
ブラッキー,generation-ii
ヤミカラス,generation-ii
ヤドキング,generation-ii
アンノーン,generation-ii
ソーナンス,generation-ii
キリンリキ,generation-ii
クヌギダマ,generation-ii
フォレトス,generation-ii
グライガー,generation-ii
ハガネール,generation-ii
グランブル,generation-ii
ハリーセン,generation-ii
マグマッグ,generation-ii
マグカルゴ,generation-ii
テッポウオ,generation-ii
デリバード,generation-ii
マンタイン,generation-ii
エアームド,generation-ii
キングドラ,generation-ii
ドンファン,generation-ii
ポリゴン２,generation-ii
カポエラー,generation-ii
ムチュール,generation-ii
エレキッド,generation-ii
ミルタンク,generation-ii
ヨーギラス,generation-ii
サナギラス,generation-ii
バンギラス,generation-ii
ジュプトル,generation-iii
ジュカイン,generation-iii
ワカシャモ,generation-iii
バシャーモ,generation-iii
ミズゴロウ,generation-iii
ヌマクロー,generation-iii
ラグラージ,generation-iii
ジグザグマ,generation-iii
マッスグマ,generation-iii
カラサリス,generation-iii
アゲハント,generation-iii
ドクケイル,generation-iii
ハスブレロ,generation-iii
ルンパッパ,generation-iii
ダーテング,generation-iii
オオスバメ,generation-iii
ペリッパー,generation-iii
サーナイト,generation-iii
アメモース,generation-iii
キノガッサ,generation-iii
ヤルキモノ,generation-iii
ケッキング,generation-iii
テッカニン,generation-iii
ゴニョニョ,generation-iii
バクオング,generation-iii
マクノシタ,generation-iii
ハリテヤマ,generation-iii
エネコロロ,generation-iii
ボスゴドラ,generation-iii
チャーレム,generation-iii
ライボルト,generation-iii
バルビート,generation-iii
イルミーゼ,generation-iii
マルノーム,generation-iii
サメハダー,generation-iii
ホエルオー,generation-iii
ブーピッグ,generation-iii
パッチール,generation-iii
ナックラー,generation-iii
ビブラーバ,generation-iii
フライゴン,generation-iii
チルタリス,generation-iii
ザングース,generation-iii
ハブネーク,generation-iii
ルナトーン,generation-iii
ソルロック,generation-iii
ドジョッチ,generation-iii
シザリガー,generation-iii
ネンドール,generation-iii
ユレイドル,generation-iii
アーマルド,generation-iii
ミロカロス,generation-iii
カクレオン,generation-iii
カゲボウズ,generation-iii
ジュペッタ,generation-iii
サマヨール,generation-iii
トロピウス,generation-iii
ユキワラシ,generation-iii
オニゴーリ,generation-iii
タマザラシ,generation-iii
トドグラー,generation-iii
トドゼルガ,generation-iii
ハンテール,generation-iii
サクラビス,generation-iii
ジーランス,generation-iii
ボーマンダ,generation-iii
メタグロス,generation-iii
レジロック,generation-iii
レジアイス,generation-iii
レジスチル,generation-iii
ラティアス,generation-iii
ラティオス,generation-iii
カイオーガ,generation-iii
グラードン,generation-iii
レックウザ,generation-iii
デオキシス,generation-iii
ハヤシガメ,generation-iv
ドダイトス,generation-iv
モウカザル,generation-iv
ゴウカザル,generation-iv
ポッタイシ,generation-iv
エンペルト,generation-iv
ムクバード,generation-iv
ムクホーク,generation-iv
コロボーシ,generation-iv
コロトック,generation-iv
レントラー,generation-iv
ロズレイド,generation-iv
ズガイドス,generation-iv
ラムパルド,generation-iv
タテトプス,generation-iv
トリデプス,generation-iv
ミノムッチ,generation-iv
ミノマダム,generation-iv
ガーメイル,generation-iv
ミツハニー,generation-iv
ビークイン,generation-iv
フローゼル,generation-iv
チェリンボ,generation-iv
カラナクシ,generation-iv
トリトドン,generation-iv
エテボース,generation-iv
フワライド,generation-iv
ミミロップ,generation-iv
ムウマージ,generation-iv
ドンカラス,generation-iv
ニャルマー,generation-iv
ブニャット,generation-iv
リーシャン,generation-iv
スカンプー,generation-iv
スカタンク,generation-iv
ドーミラー,generation-iv
ドータクン,generation-iv
ガブリアス,generation-iv
ヒポポタス,generation-iv
カバルドン,generation-iv
ドラピオン,generation-iv
グレッグル,generation-iv
ドクロッグ,generation-iv
マスキッパ,generation-iv
ケイコウオ,generation-iv
ネオラント,generation-iv
ユキカブリ,generation-iv
ユキノオー,generation-iv
マニューラ,generation-iv
ジバコイル,generation-iv
ベロベルト,generation-iv
ドサイドン,generation-iv
モジャンボ,generation-iv
エレキブル,generation-iv
ブーバーン,generation-iv
トゲキッス,generation-iv
メガヤンマ,generation-iv
リーフィア,generation-iv
グレイシア,generation-iv
グライオン,generation-iv
ポリゴンＺ,generation-iv
エルレイド,generation-iv
ダイノーズ,generation-iv
ヨノワール,generation-iv
ユキメノコ,generation-iv
エムリット,generation-iv
ディアルガ,generation-iv
ヒードラン,generation-iv
レジギガス,generation-iv
ギラティナ,generation-iv
クレセリア,generation-iv
ダークライ,generation-iv
アルセウス,generation-iv
ビクティニ,generation-v
ツタージャ,generation-v
ジャノビー,generation-v
ジャローダ,generation-v
チャオブー,generation-v
エンブオー,generation-v
ミジュマル,generation-v
フタチマル,generation-v
ダイケンキ,generation-v
ミルホッグ,generation-v
ヨーテリー,generation-v
ハーデリア,generation-v
ムーランド,generation-v
チョロネコ,generation-v
ヤナッキー,generation-v
バオッキー,generation-v
ヒヤッキー,generation-v
ムシャーナ,generation-v
ハトーボー,generation-v
ケンホロウ,generation-v
ゼブライカ,generation-v
ギガイアス,generation-v
ココロモリ,generation-v
モグリュー,generation-v
ドリュウズ,generation-v
ドッコラー,generation-v
ドテッコツ,generation-v
ローブシン,generation-v
ガマゲロゲ,generation-v
ハハコモリ,generation-v
ペンドラー,generation-v
エルフーン,generation-v
ドレディア,generation-v
ワルビアル,generation-v
ダルマッカ,generation-v
ヒヒダルマ,generation-v
マラカッチ,generation-v
イシズマイ,generation-v
イワパレス,generation-v
ズルズキン,generation-v
シンボラー,generation-v
デスカーン,generation-v
プロトーガ,generation-v
アバゴーラ,generation-v
アーケオス,generation-v
ヤブクロン,generation-v
ダストダス,generation-v
ゾロアーク,generation-v
チラーミィ,generation-v
チラチーノ,generation-v
ゴチルゼル,generation-v
ランクルス,generation-v
コアルヒー,generation-v
バニプッチ,generation-v
バニリッチ,generation-v
バイバニラ,generation-v
メブキジカ,generation-v
シュバルゴ,generation-v
タマゲタケ,generation-v
モロバレル,generation-v
ブルンゲル,generation-v
ママンボウ,generation-v
デンチュラ,generation-v
テッシード,generation-v
ナットレイ,generation-v
ギギギアル,generation-v
シビシラス,generation-v
シビビール,generation-v
シビルドン,generation-v
ランプラー,generation-v
シャンデラ,generation-v
オノノクス,generation-v
クマシュン,generation-v
ツンベアー,generation-v
フリージオ,generation-v
チョボマキ,generation-v
アギルダー,generation-v
コジョフー,generation-v
コジョンド,generation-v
クリムガン,generation-v
キリキザン,generation-v
バッフロン,generation-v
ウォーグル,generation-v
バルチャイ,generation-v
バルジーナ,generation-v
クイタラン,generation-v
アイアント,generation-v
サザンドラ,generation-v
ウルガモス,generation-v
コバルオン,generation-v
テラキオン,generation-v
ビリジオン,generation-v
トルネロス,generation-v
